# Sweep Manifest - 500 expected runs (2 boundaries Ã— 5 modes Ã— 50 seeds)
# Format: boundary,mode,seed,status,path

zero,passive_nopersist,22,OK,outputs_sweep50\passive_nopersist_zero_seed22\metrics.csv
zero,passive_persist,22,OK,outputs_sweep50\passive_persist_zero_seed22\metrics.csv
zero,active_persist,22,OK,outputs_sweep50\active_persist_zero_seed22\metrics.csv
zero,active_random,22,OK,outputs_sweep50\active_random_zero_seed22\metrics.csv
wrap,object_off_tracked,22,OK,outputs_sweep50\object_off_tracked_wrap_seed22\metrics.csv
wrap,passive_nopersist,22,OK,outputs_sweep50\passive_nopersist_wrap_seed22\metrics.csv
wrap,passive_persist,22,OK,outputs_sweep50\passive_persist_wrap_seed22\metrics.csv
wrap,active_persist,22,OK,outputs_sweep50\active_persist_wrap_seed22\metrics.csv
wrap,active_random,22,OK,outputs_sweep50\active_random_wrap_seed22\metrics.csv
zero,object_off_tracked,23,OK,outputs_sweep50\object_off_tracked_zero_seed23\metrics.csv
zero,passive_nopersist,23,OK,outputs_sweep50\passive_nopersist_zero_seed23\metrics.csv
zero,passive_persist,23,OK,outputs_sweep50\passive_persist_zero_seed23\metrics.csv
zero,active_persist,23,OK,outputs_sweep50\active_persist_zero_seed23\metrics.csv
zero,active_random,23,OK,outputs_sweep50\active_random_zero_seed23\metrics.csv
wrap,object_off_tracked,23,OK,outputs_sweep50\object_off_tracked_wrap_seed23\metrics.csv
wrap,passive_nopersist,23,OK,outputs_sweep50\passive_nopersist_wrap_seed23\metrics.csv
wrap,passive_persist,23,OK,outputs_sweep50\passive_persist_wrap_seed23\metrics.csv
wrap,active_persist,23,OK,outputs_sweep50\active_persist_wrap_seed23\metrics.csv
wrap,active_random,23,OK,outputs_sweep50\active_random_wrap_seed23\metrics.csv
zero,object_off_tracked,24,OK,outputs_sweep50\object_off_tracked_zero_seed24\metrics.csv
zero,passive_nopersist,24,OK,outputs_sweep50\passive_nopersist_zero_seed24\metrics.csv
zero,passive_persist,24,OK,outputs_sweep50\passive_persist_zero_seed24\metrics.csv
zero,active_persist,24,OK,outputs_sweep50\active_persist_zero_seed24\metrics.csv
zero,active_random,24,OK,outputs_sweep50\active_random_zero_seed24\metrics.csv
wrap,object_off_tracked,24,OK,outputs_sweep50\object_off_tracked_wrap_seed24\metrics.csv
wrap,passive_nopersist,24,OK,outputs_sweep50\passive_nopersist_wrap_seed24\metrics.csv
wrap,passive_persist,24,OK,outputs_sweep50\passive_persist_wrap_seed24\metrics.csv
wrap,active_persist,24,OK,outputs_sweep50\active_persist_wrap_seed24\metrics.csv
wrap,active_random,24,OK,outputs_sweep50\active_random_wrap_seed24\metrics.csv
zero,object_off_tracked,25,OK,outputs_sweep50\object_off_tracked_zero_seed25\metrics.csv
zero,passive_nopersist,25,OK,outputs_sweep50\passive_nopersist_zero_seed25\metrics.csv
zero,passive_persist,25,OK,outputs_sweep50\passive_persist_zero_seed25\metrics.csv
zero,active_persist,25,OK,outputs_sweep50\active_persist_zero_seed25\metrics.csv
zero,active_random,25,OK,outputs_sweep50\active_random_zero_seed25\metrics.csv
