tag,boundary_mode,observer_mode,mode,seed,final_identity_score,mean_identity_score,final_core_size_delta,mean_recovery_150_250,mean_observer_action_rate
active_persist_wrap_seed10,wrap,active_persist,active_persist,10,0.8047808764940239,0.7088196614354912,53.0,192.76,0.049671292914536154
active_random_wrap_seed10,wrap,active_random,active_random,10,0.0,0.00025510074103961766,-2.0,8.7,0.049671292914536154
object_off_tracked_zero_seed11,zero,object_off_tracked,object_off_tracked,11,1.0,0.6340577950123597,52.0,2037.35,0.0
passive_nopersist_zero_seed11,zero,passive_nopersist,passive_nopersist,11,0.0,0.0001131081703864639,-5.0,2.89,0.0
passive_persist_zero_seed11,zero,passive_persist,passive_persist,11,0.8509532062391681,0.6749332544239861,401.0,161.9,0.0
active_persist_zero_seed11,zero,active_persist,active_persist,11,0.7590822179732314,0.7068395051949785,-71.0,-210.02,0.049671292914536154
active_random_zero_seed11,zero,active_random,active_random,11,0.0,0.00021887614760833062,-2.0,4.25,0.049671292914536154
object_off_tracked_wrap_seed11,wrap,object_off_tracked,object_off_tracked,11,0.4910335063709297,0.6068095247402575,2283.0,113.77,0.0
passive_nopersist_wrap_seed11,wrap,passive_nopersist,passive_nopersist,11,0.0,0.00012900549829714293,-1.0,13.54,0.0
passive_persist_wrap_seed11,wrap,passive_persist,passive_persist,11,0.3625,0.6855377328667174,-219.0,-66.31,0.0
active_persist_wrap_seed11,wrap,active_persist,active_persist,11,0.988950276243094,0.6919320368172965,-240.0,-47.72,0.049671292914536154
active_random_wrap_seed11,wrap,active_random,active_random,11,0.0,0.00037908456583601126,-1.0,21.83,0.049671292914536154
object_off_tracked_zero_seed12,zero,object_off_tracked,object_off_tracked,12,0.14217391304347826,0.6578343853669282,-1220.0,-1207.3,0.0
passive_nopersist_zero_seed12,zero,passive_nopersist,passive_nopersist,12,0.0,6.0171290132874143e-05,-4.0,9.12,0.0
passive_persist_zero_seed12,zero,passive_persist,passive_persist,12,0.8591549295774648,0.6919805968022184,-106.0,107.92,0.0
